Key,Value,待翻译
cardName,【ナチュラルモード】櫻木真乃,待翻译
eventTitle,ショッピング日和,待翻译
eventTitle,自然とはずむ心,待翻译
eventTitle,感謝を形に,待翻译
cardName,【ほわっとスマイル】櫻木真乃,待翻译
eventTitle,ほわほわアイドル,待翻译
eventTitle,真乃ならできる,待翻译
eventTitle,成長の証,待翻译
eventTitle,いつかの気持ち,待翻译
eventTitle,ずっと続く夢の先へ,待翻译
cardName,【ぐうぜんBOOKS】櫻木真乃,待翻译
eventTitle,想いが重なる瞬間,待翻译
eventTitle,お腹が……,待翻译
eventTitle,癒して、癒されて,待翻译
cardName,【しじまに華ひととき】櫻木真乃,待翻译
eventTitle,しばしお別れ、しかしすぐに,待翻译
eventTitle,迎春の巡り逢い,待翻译
eventTitle,あのときの願い,待翻译
cardName,【ハ♡トフェルトゥギフト】櫻木真乃,待翻译
eventTitle,ぽかぽか陽気に誘われて,待翻译
eventTitle,旅のお供に,待翻译
eventTitle,春の足音,待翻译
eventTitle,あなたへ贈り物,待翻译
eventTitle,ゆるりと流れる時間の中で,待翻译
cardName,【はじけてスマイル】櫻木真乃,待翻译
eventTitle,緑色が運ぶ、夏の,待翻译
eventTitle,狙う、その間の,待翻译
eventTitle,交す、ことばの,待翻译
eventTitle,涼やかな、夏の,待翻译
eventTitle,気遣い、一粒,待翻译
cardName,【深染め、いろみぐさ】櫻木真乃,待翻译
eventTitle,秋香る,待翻译
eventTitle,響くやわらか,待翻译
eventTitle,空の下,待翻译
eventTitle,染まる景色に,待翻译
eventTitle,薫る秋,待翻译
cardName,【花結びゆくゆく】櫻木真乃,待翻译
eventTitle,まだ、かたく,待翻译
eventTitle,春へ、浮かされて,待翻译
eventTitle,ほころびる,待翻译
cardName,【ソラを跳ね】櫻木真乃,待翻译
eventTitle,ささやかな,待翻译
eventTitle,あめのひ,待翻译
eventTitle,そらをおよぐ鳥,待翻译
eventTitle,ゆっくりでいい。そうきみにも,待翻译
eventTitle,たとえ何光年離れていたとしても,待翻译
cardName,【一番星の魔法】櫻木真乃,待翻译
eventTitle,星降るよるに,待翻译
eventTitle,きをつけて,待翻译
cardName,【花風Smiley】櫻木真乃,待翻译
eventTitle,はずむ、こころ,待翻译
eventTitle,カメラレッスン,待翻译
eventTitle,やわらかくつつんで、春,待翻译
eventTitle,想い、その手にのせて,待翻译
eventTitle,散りつもるように、幸福,待翻译
cardName,【ひとつ、はたたく】櫻木真乃,待翻译
eventTitle,新しい空をゆくために,待翻译
eventTitle,はらはら、雪が重なるように,待翻译
eventTitle,雪割草のあたま,待翻译
eventTitle,勇気をくださいました,待翻译
eventTitle,２ステップめ,待翻译
cardName,【ピックアップ・スプリング】櫻木真乃,待翻译
eventTitle,散らばる春のかけら,待翻译
eventTitle,まなざし,待翻译
eventTitle,バケツいっぱいの幸せから,待翻译
cardName,【interStellar-Stella】櫻木真乃,待翻译
eventTitle,金糸雀をなぞる,待翻译
eventTitle,星影は青藍も知る,待翻译
eventTitle,桜がほころびますように,待翻译
eventTitle,きみは綺羅星,待翻译
eventTitle,瞬き綴じて６頁,待翻译
cardName,【きみと巡り行く】櫻木真乃,待翻译
eventTitle,click,待翻译
eventTitle,いつものさがし,待翻译
